taxon,lineage
India/NIV-8404/2020,B.6
India/NCDC-02334/2020,B.6
India/NCDC-02248/2020,B.6
India/NCDC-02315/2020,B.6
India/NCDC-02333/2020,B.6
India/NCDC-02336/2020,B.6
India/nimh-2873/2020,B.6
India_CCMB/J048/2020,B.6
India_CCMB/J235/2020,B.6
India_CCMB/J222/2020,B.6
India/GBRC103/2020,B.6
India/NIV-QC-798/2020,B.6
India/NCDC-02244/2020,B.6
India/NCDC-02312/2020,B.6
India/NCDC-02327/2020,B.6
India/NCDC-02328/2020,B.6
India/NCDC-02332/2020,B.6
India/NCDC-02252/2020,B.6
India/NCDC-02240/2020,B.6
India/NCDC-02320/2020,B.6
India/NCDC-02321/2020,B.6
India/NCDC-02251/2020,B.6
USA/CA-SCCPHD-UC184/2020,B.6
Brunei/2/2020,B.6
Brunei/3/2020,B.6
Brunei/1/2020,B.6
Brunei/4/2020,B.6
India/NCDC-3394/2020,B.6
Malaysia_IMR/WC10180/2020,B.6
Brunei/5/2020,B.6
India/NIV-7098/2020,B.6
Philippines/PGC04/2020,B.6
India/NCDC-2507/2020,B.6
India/NCDC-2514/2020,B.6
India_CCMB/J206/2020,B.6
India_CCMB/J321/2020,B.6
India/NCDC-2515/2020,B.6
India/NCDC-2517/2020,B.6
India/NCDC-2522/2020,B.6
India/NCDC-3162/2020,B.6
India_CCMB/J107/2020,B.6
India/NCDC-3181/2020,B.6
India/NCDC-3190/2020,B.6
India/NCDC-3264/2020,B.6
India/NCDC-3400/2020,B.6
India/NCDC-3831/2020,B.6
India/NCDC-3835/2020,B.6
India_CCMB/J118/2020,B.6
India_CCMB/J165/2020,B.6
India_THSTI-BAL/914/2020,B.6
India_CCMB/L912/2020,B.6
India/NCDC-3934/2020,B.6
India/NCDC-4208/2020,B.6
India/NCDC-3936/2020,B.6
India/NCDC-3941/2020,B.6
India/NCDC-3950/2020,B.6
India/NCDC-3961/2020,B.6
India/NCDC-3965/2020,B.6
India/NCDC-4055/2020,B.6
Australia/VIC550/2020,B.6
India/GBRC14/2020,B.6
India/GBRC16/2020,B.6
India/RMRC169/2020,B.6
India/ILSCV12742/2020,B.6
India/ILSCV12743/2020,B.6
India/ILSCV12762/2020,B.6
India/ILSCV13676/2020,B.6
India/ILSCV13678/2020,B.6
India/ILSCV13695/2020,B.6
India/ILSCV16631/2020,B.6
India/ILSCV13744/2020,B.6
India/ILSCV16508/2020,B.6
India/ILSCV19192/2020,B.6
India/ILSCV12752/2020,B.6
India/ILSCV13715/2020,B.6
India/GBRC24a/2020,B.6
